type,side,price,size,ts_ns
update,b,65806.15,2.14617588,1784618835979421800
update,b,65806.16,1.36510566,1784618835979421800
update,a,65864.00,0.00000000,1784618835979421800
update,a,65878.50,0.00000000,1784618835979421800
update,a,65868.14,0.00000000,1784618835979421800
update,a,65876.94,0.19420414,1784618835979421800
update,a,65866.11,0.08392659,1784618835979421800
update,b,65847.31,0.00000000,1784618836037912600
update,b,65849.23,0.16524078,1784618836037912600
update,a,65883.00,1.00000000,1784618836037912600
update,a,65868.14,0.09103615,1784618836037912600
update,a,65866.11,0.12754533,1784618836037912600
update,b,65806.15,0.00000000,1784618836088807800
update,b,65806.17,2.14617523,1784618836088807800
update,b,65806.16,0.00000000,1784618836088807800
update,b,65847.44,0.62495900,1784618836088807800
update,b,65857.04,0.01518440,1784618836088807800
update,a,65872.50,0.00000000,1784618836088807800
update,a,65872.40,0.00796995,1784618836088807800
update,a,65883.31,0.00000000,1784618836088807800
update,b,65849.23,0.16524078,1784618836148464600
update,b,65836.48,0.00000000,1784618836148464600
update,b,65836.47,0.00000000,1784618836148464600
update,b,65836.49,0.91308966,1784618836148464600
update,b,65847.44,0.00000000,1784618836148464600
update,b,65857.04,0.00759220,1784618836148464600
update,b,65858.69,0.00759201,1784618836148464600
update,a,65872.47,0.00000000,1784618836148464600
update,a,65880.20,0.14882217,1784618836148464600
update,a,65923.59,0.32556651,1784618836148464600
update,a,65866.00,0.00000000,1784618836148464600
update,a,65870.80,0.00000000,1784618836148464600
update,a,65869.81,0.00000000,1784618836148464600
update,a,65882.99,0.81274929,1784618836148464600
update,a,65883.30,0.63770172,1784618836148464600
update,a,65923.60,0.00000000,1784618836148464600
update,a,65871.15,0.00758612,1784618836148464600
update,a,65871.14,0.00000000,1784618836148464600
update,a,65880.21,0.00000000,1784618836148464600
update,a,65923.61,0.00000000,1784618836148464600
update,a,65864.02,0.00000000,1784618836148464600
